month,level_1,value
1978-11,All Items Less Accommodation,na
1978-12,All Items,45.163
1978-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1978-12,All Items Less Accommodation,na
1979-01,All Items,45.193
1979-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1979-01,All Items Less Accommodation,na
1979-02,All Items,45.053
1979-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1979-02,All Items Less Accommodation,na
1979-03,All Items,44.909
1979-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1979-03,All Items Less Accommodation,na
1979-04,All Items,45.112
1979-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1979-04,All Items Less Accommodation,na
1979-05,All Items,45.44
1979-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1979-05,All Items Less Accommodation,na
1979-06,All Items,45.56
1979-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1979-06,All Items Less Accommodation,na
1979-07,All Items,46.126
1979-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1979-07,All Items Less Accommodation,na
1979-08,All Items,46.945
1979-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1979-08,All Items Less Accommodation,na
1979-09,All Items,47.685
1979-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1979-09,All Items Less Accommodation,na
1979-10,All Items,47.696
1979-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1979-10,All Items Less Accommodation,na
1979-11,All Items,48.106
1979-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1979-11,All Items Less Accommodation,na
1979-12,All Items,48.466
1979-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1979-12,All Items Less Accommodation,na
1980-01,All Items,48.52
1980-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1980-01,All Items Less Accommodation,na
1980-02,All Items,49.283
1980-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1980-02,All Items Less Accommodation,na
1980-03,All Items,49.809
1980-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1980-03,All Items Less Accommodation,na
1980-04,All Items,50.024
1980-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1980-04,All Items Less Accommodation,na
1980-05,All Items,49.996
1980-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1980-05,All Items Less Accommodation,na
1980-06,All Items,50.13
1980-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1980-06,All Items Less Accommodation,na
1980-07,All Items,50.566
1980-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1980-07,All Items Less Accommodation,na
1980-08,All Items,50.951
1980-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1980-08,All Items Less Accommodation,na
1980-09,All Items,50.825
1980-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1980-09,All Items Less Accommodation,na
1980-10,All Items,50.995
1980-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1980-10,All Items Less Accommodation,na
1980-11,All Items,51.329
1980-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1980-11,All Items Less Accommodation,na
1980-12,All Items,51.375
1980-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1980-12,All Items Less Accommodation,na
1981-01,All Items,51.527
1981-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1981-01,All Items Less Accommodation,na
1981-02,All Items,52.143
1981-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1981-02,All Items Less Accommodation,na
1981-03,All Items,52.262
1981-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1981-03,All Items Less Accommodation,na
1981-04,All Items,53.318
1981-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1981-04,All Items Less Accommodation,na
1981-05,All Items,54.003
1981-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1981-05,All Items Less Accommodation,na
1981-06,All Items,54.366
1981-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1981-06,All Items Less Accommodation,na
1981-07,All Items,55.182
1981-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1981-07,All Items Less Accommodation,na
1981-08,All Items,55.912
1981-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1981-08,All Items Less Accommodation,na
1981-09,All Items,55.811
1981-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1981-09,All Items Less Accommodation,na
1981-10,All Items,55.831
1981-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1981-10,All Items Less Accommodation,na
1981-11,All Items,56.203
1981-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1981-11,All Items Less Accommodation,na
1981-12,All Items,56.689
1981-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1981-12,All Items Less Accommodation,na
1982-01,All Items,57.247
1982-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1982-01,All Items Less Accommodation,na
1982-02,All Items,56.808
1982-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1982-02,All Items Less Accommodation,na
1982-03,All Items,56.203
1982-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1982-03,All Items Less Accommodation,na
1982-04,All Items,56.223
1982-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1982-04,All Items Less Accommodation,na
1982-05,All Items,56.258
1982-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1982-05,All Items Less Accommodation,na
1982-06,All Items,56.407
1982-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1982-06,All Items Less Accommodation,na
1982-07,All Items,56.257
1982-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1982-07,All Items Less Accommodation,na
1982-08,All Items,56.49
1982-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1982-08,All Items Less Accommodation,na
1982-09,All Items,56.584
1982-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1982-09,All Items Less Accommodation,na
1982-10,All Items,56.43
1982-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1982-10,All Items Less Accommodation,na
1982-11,All Items,56.778
1982-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1982-11,All Items Less Accommodation,na
1982-12,All Items,57.157
1982-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1982-12,All Items Less Accommodation,na
1983-01,All Items,56.976
1983-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1983-01,All Items Less Accommodation,na
1983-02,All Items,57.091
1983-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1983-02,All Items Less Accommodation,na
1983-03,All Items,57.031
1983-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1983-03,All Items Less Accommodation,na
1983-04,All Items,56.955
1983-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1983-04,All Items Less Accommodation,na
1983-05,All Items,57.154
1983-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1983-05,All Items Less Accommodation,na
1983-06,All Items,56.789
1983-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1983-06,All Items Less Accommodation,na
1983-07,All Items,57.002
1983-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1983-07,All Items Less Accommodation,na
1983-08,All Items,57.042
1983-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1983-08,All Items Less Accommodation,na
1983-09,All Items,57.25
1983-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1983-09,All Items Less Accommodation,na
1983-10,All Items,57.128
1983-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1983-10,All Items Less Accommodation,na
1983-11,All Items,57.653
1983-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1983-11,All Items Less Accommodation,na
1983-12,All Items,57.811
1983-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1983-12,All Items Less Accommodation,na
1984-01,All Items,58.395
1984-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1984-01,All Items Less Accommodation,na
1984-02,All Items,59.166
1984-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1984-02,All Items Less Accommodation,na
1984-03,All Items,58.581
1984-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1984-03,All Items Less Accommodation,na
1984-04,All Items,58.586
1984-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1984-04,All Items Less Accommodation,na
1984-05,All Items,58.541
1984-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1984-05,All Items Less Accommodation,na
1984-06,All Items,58.702
1984-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1984-06,All Items Less Accommodation,na
1984-07,All Items,58.867
1984-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1984-07,All Items Less Accommodation,na
1984-08,All Items,59.007
1984-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1984-08,All Items Less Accommodation,na
1984-09,All Items,58.612
1984-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1984-09,All Items Less Accommodation,na
1984-10,All Items,58.583
1984-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1984-10,All Items Less Accommodation,na
1984-11,All Items,58.364
1984-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1984-11,All Items Less Accommodation,na
1984-12,All Items,58.338
1984-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1984-12,All Items Less Accommodation,na
1985-01,All Items,58.6
1985-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1985-01,All Items Less Accommodation,na
1985-02,All Items,58.891
1985-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1985-02,All Items Less Accommodation,na
1985-03,All Items,59.044
1985-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1985-03,All Items Less Accommodation,na
1985-04,All Items,58.931
1985-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1985-04,All Items Less Accommodation,na
1985-05,All Items,58.919
1985-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1985-05,All Items Less Accommodation,na
1985-06,All Items,59.068
1985-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1985-06,All Items Less Accommodation,na
1985-07,All Items,59.263
1985-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1985-07,All Items Less Accommodation,na
1985-08,All Items,59.331
1985-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1985-08,All Items Less Accommodation,na
1985-09,All Items,58.863
1985-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1985-09,All Items Less Accommodation,na
1985-10,All Items,58.851
1985-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1985-10,All Items Less Accommodation,na
1985-11,All Items,58.701
1985-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1985-11,All Items Less Accommodation,na
1985-12,All Items,58.739
1985-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1985-12,All Items Less Accommodation,na
1986-01,All Items,58.712
1986-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1986-01,All Items Less Accommodation,na
1986-02,All Items,58.556
1986-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1986-02,All Items Less Accommodation,na
1986-03,All Items,58.387
1986-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1986-03,All Items Less Accommodation,na
1986-04,All Items,58.092
1986-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1986-04,All Items Less Accommodation,na
1986-05,All Items,58.048
1986-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1986-05,All Items Less Accommodation,na
1986-06,All Items,57.962
1986-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1986-06,All Items Less Accommodation,na
1986-07,All Items,57.87
1986-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1986-07,All Items Less Accommodation,na
1986-08,All Items,57.846
1986-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1986-08,All Items Less Accommodation,na
1986-09,All Items,58.082
1986-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1986-09,All Items Less Accommodation,na
1986-10,All Items,58.066
1986-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1986-10,All Items Less Accommodation,na
1986-11,All Items,57.886
1986-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1986-11,All Items Less Accommodation,na
1986-12,All Items,57.93
1986-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1986-12,All Items Less Accommodation,na
1987-01,All Items,58.3
1987-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1987-01,All Items Less Accommodation,na
1987-02,All Items,57.936
1987-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1987-02,All Items Less Accommodation,na
1987-03,All Items,57.929
1987-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1987-03,All Items Less Accommodation,na
1987-04,All Items,58.134
1987-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1987-04,All Items Less Accommodation,na
1987-05,All Items,58.29
1987-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1987-05,All Items Less Accommodation,na
1987-06,All Items,58.325
1987-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1987-06,All Items Less Accommodation,na
1987-07,All Items,58.564
1987-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1987-07,All Items Less Accommodation,na
1987-08,All Items,58.637
1987-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1987-08,All Items Less Accommodation,na
1987-09,All Items,58.603
1987-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1987-09,All Items Less Accommodation,na
1987-10,All Items,58.586
1987-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1987-10,All Items Less Accommodation,na
1987-11,All Items,58.688
1987-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1987-11,All Items Less Accommodation,na
1987-12,All Items,58.814
1987-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1987-12,All Items Less Accommodation,na
1988-01,All Items,58.729
1988-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1988-01,All Items Less Accommodation,na
1988-02,All Items,59.181
1988-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1988-02,All Items Less Accommodation,na
1988-03,All Items,59.028
1988-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1988-03,All Items Less Accommodation,na
1988-04,All Items,59.046
1988-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1988-04,All Items Less Accommodation,na
1988-05,All Items,59.234
1988-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1988-05,All Items Less Accommodation,na
1988-06,All Items,59.169
1988-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1988-06,All Items Less Accommodation,na
1988-07,All Items,59.512
1988-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1988-07,All Items Less Accommodation,na
1988-08,All Items,59.49
1988-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1988-08,All Items Less Accommodation,na
1988-09,All Items,59.544
1988-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1988-09,All Items Less Accommodation,na
1988-10,All Items,59.413
1988-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1988-10,All Items Less Accommodation,na
1988-11,All Items,59.494
1988-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1988-11,All Items Less Accommodation,na
1988-12,All Items,59.641
1988-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1988-12,All Items Less Accommodation,na
1989-01,All Items,59.616
1989-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1989-01,All Items Less Accommodation,na
1989-02,All Items,59.773
1989-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1989-02,All Items Less Accommodation,na
1989-03,All Items,59.714
1989-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1989-03,All Items Less Accommodation,na
1989-04,All Items,60.057
1989-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1989-04,All Items Less Accommodation,na
1989-05,All Items,60.482
1989-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1989-05,All Items Less Accommodation,na
1989-06,All Items,60.757
1989-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1989-06,All Items Less Accommodation,na
1989-07,All Items,60.931
1989-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1989-07,All Items Less Accommodation,na
1989-08,All Items,61.005
1989-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1989-08,All Items Less Accommodation,na
1989-09,All Items,61.001
1989-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1989-09,All Items Less Accommodation,na
1989-10,All Items,61.309
1989-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1989-10,All Items Less Accommodation,na
1989-11,All Items,61.541
1989-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1989-11,All Items Less Accommodation,na
1989-12,All Items,61.616
1989-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1989-12,All Items Less Accommodation,na
1990-01,All Items,61.966
1990-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1990-01,All Items Less Accommodation,na
1990-02,All Items,62.087
1990-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1990-02,All Items Less Accommodation,na
1990-03,All Items,61.907
1990-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1990-03,All Items Less Accommodation,na
1990-04,All Items,62.254
1990-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1990-04,All Items Less Accommodation,na
1990-05,All Items,62.415
1990-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1990-05,All Items Less Accommodation,na
1990-06,All Items,62.501
1990-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1990-06,All Items Less Accommodation,na
1990-07,All Items,62.53
1990-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1990-07,All Items Less Accommodation,na
1990-08,All Items,62.753
1990-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1990-08,All Items Less Accommodation,na
1990-09,All Items,63.181
1990-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1990-09,All Items Less Accommodation,na
1990-10,All Items,63.682
1990-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1990-10,All Items Less Accommodation,na
1990-11,All Items,63.666
1990-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1990-11,All Items Less Accommodation,na
1990-12,All Items,63.969
1990-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1990-12,All Items Less Accommodation,na
1991-01,All Items,64.036
1991-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1991-01,All Items Less Accommodation,na
1991-02,All Items,64.559
1991-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1991-02,All Items Less Accommodation,na
1991-03,All Items,64.249
1991-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1991-03,All Items Less Accommodation,na
1991-04,All Items,64.583
1991-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1991-04,All Items Less Accommodation,na
1991-05,All Items,64.792
1991-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1991-05,All Items Less Accommodation,na
1991-06,All Items,64.943
1991-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1991-06,All Items Less Accommodation,na
1991-07,All Items,65.029
1991-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1991-07,All Items Less Accommodation,na
1991-08,All Items,65.19
1991-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1991-08,All Items Less Accommodation,na
1991-09,All Items,65.153
1991-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1991-09,All Items Less Accommodation,na
1991-10,All Items,65.182
1991-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1991-10,All Items Less Accommodation,na
1991-11,All Items,65.286
1991-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1991-11,All Items Less Accommodation,na
1991-12,All Items,65.808
1991-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1991-12,All Items Less Accommodation,na
1992-01,All Items,65.808
1992-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1992-01,All Items Less Accommodation,na
1992-02,All Items,65.719
1992-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1992-02,All Items Less Accommodation,na
1992-03,All Items,65.603
1992-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1992-03,All Items Less Accommodation,na
1992-04,All Items,66.015
1992-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1992-04,All Items Less Accommodation,na
1992-05,All Items,66.357
1992-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1992-05,All Items Less Accommodation,na
1992-06,All Items,66.365
1992-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1992-06,All Items Less Accommodation,na
1992-07,All Items,66.65
1992-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1992-07,All Items Less Accommodation,na
1992-08,All Items,66.532
1992-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1992-08,All Items Less Accommodation,na
1992-09,All Items,66.577
1992-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1992-09,All Items Less Accommodation,na
1992-10,All Items,66.743
1992-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1992-10,All Items Less Accommodation,na
1992-11,All Items,66.931
1992-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1992-11,All Items Less Accommodation,na
1992-12,All Items,66.986
1992-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1992-12,All Items Less Accommodation,na
1993-01,All Items,67.5
1993-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1993-01,All Items Less Accommodation,na
1993-02,All Items,67.184
1993-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1993-02,All Items Less Accommodation,na
1993-03,All Items,67.348
1993-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1993-03,All Items Less Accommodation,na
1993-04,All Items,67.546
1993-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1993-04,All Items Less Accommodation,na
1993-05,All Items,67.733
1993-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1993-05,All Items Less Accommodation,na
1993-06,All Items,67.756
1993-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1993-06,All Items Less Accommodation,na
1993-07,All Items,68.078
1993-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1993-07,All Items Less Accommodation,na
1993-08,All Items,67.971
1993-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1993-08,All Items Less Accommodation,na
1993-09,All Items,68.008
1993-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1993-09,All Items Less Accommodation,na
1993-10,All Items,68.249
1993-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1993-10,All Items Less Accommodation,na
1993-11,All Items,68.463
1993-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1993-11,All Items Less Accommodation,na
1993-12,All Items,68.697
1993-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1993-12,All Items Less Accommodation,na
1994-01,All Items,69.045
1994-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1994-01,All Items Less Accommodation,na
1994-02,All Items,69.269
1994-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1994-02,All Items Less Accommodation,na
1994-03,All Items,68.922
1994-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1994-03,All Items Less Accommodation,na
1994-04,All Items,69.44
1994-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1994-04,All Items Less Accommodation,na
1994-05,All Items,69.791
1994-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1994-05,All Items Less Accommodation,na
1994-06,All Items,70.124
1994-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1994-06,All Items Less Accommodation,na
1994-07,All Items,70.259
1994-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1994-07,All Items Less Accommodation,na
1994-08,All Items,70.349
1994-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1994-08,All Items Less Accommodation,na
1994-09,All Items,70.376
1994-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1994-09,All Items Less Accommodation,na
1994-10,All Items,70.616
1994-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1994-10,All Items Less Accommodation,na
1994-11,All Items,70.877
1994-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1994-11,All Items Less Accommodation,na
1994-12,All Items,70.672
1994-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1994-12,All Items Less Accommodation,na
1995-01,All Items,70.826
1995-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1995-01,All Items Less Accommodation,na
1995-02,All Items,70.899
1995-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1995-02,All Items Less Accommodation,na
1995-03,All Items,70.681
1995-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1995-03,All Items Less Accommodation,na
1995-04,All Items,71.022
1995-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1995-04,All Items Less Accommodation,na
1995-05,All Items,71.296
1995-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1995-05,All Items Less Accommodation,na
1995-06,All Items,71.401
1995-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1995-06,All Items Less Accommodation,na
1995-07,All Items,71.288
1995-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1995-07,All Items Less Accommodation,na
1995-08,All Items,71.308
1995-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1995-08,All Items Less Accommodation,na
1995-09,All Items,71.312
1995-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1995-09,All Items Less Accommodation,na
1995-10,All Items,71.39
1995-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1995-10,All Items Less Accommodation,na
1995-11,All Items,71.535
1995-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1995-11,All Items Less Accommodation,na
1995-12,All Items,71.267
1995-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1995-12,All Items Less Accommodation,na
1996-01,All Items,71.464
1996-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1996-01,All Items Less Accommodation,na
1996-02,All Items,72.05
1996-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1996-02,All Items Less Accommodation,na
1996-03,All Items,71.735
1996-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1996-03,All Items Less Accommodation,na
1996-04,All Items,71.813
1996-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1996-04,All Items Less Accommodation,na
1996-05,All Items,72.156
1996-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1996-05,All Items Less Accommodation,na
1996-06,All Items,72.228
1996-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1996-06,All Items Less Accommodation,na
1996-07,All Items,72.23
1996-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1996-07,All Items Less Accommodation,na
1996-08,All Items,72.331
1996-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1996-08,All Items Less Accommodation,na
1996-09,All Items,72.364
1996-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1996-09,All Items Less Accommodation,na
1996-10,All Items,72.384
1996-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
