month,level_1,value
1965-02,All Items,25.661
1965-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-02,All Items Less Accommodation,na
1965-03,All Items,25.491
1965-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-03,All Items Less Accommodation,na
1965-04,All Items,25.122
1965-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-04,All Items Less Accommodation,na
1965-05,All Items,25.32
1965-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-05,All Items Less Accommodation,na
1965-06,All Items,25.412
1965-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-06,All Items Less Accommodation,na
1965-07,All Items,25.256
1965-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-07,All Items Less Accommodation,na
1965-08,All Items,25.411
1965-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-08,All Items Less Accommodation,na
1965-09,All Items,25.494
1965-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-09,All Items Less Accommodation,na
1965-10,All Items,25.564
1965-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-10,All Items Less Accommodation,na
1965-11,All Items,25.747
1965-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-11,All Items Less Accommodation,na
1965-12,All Items,25.937
1965-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1965-12,All Items Less Accommodation,na
1966-01,All Items,26.251
1966-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-01,All Items Less Accommodation,na
1966-02,All Items,26.01
1966-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-02,All Items Less Accommodation,na
1966-03,All Items,25.803
1966-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-03,All Items Less Accommodation,na
1966-04,All Items,25.901
1966-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-04,All Items Less Accommodation,na
1966-05,All Items,25.849
1966-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-05,All Items Less Accommodation,na
1966-06,All Items,25.923
1966-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-06,All Items Less Accommodation,na
1966-07,All Items,26.018
1966-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-07,All Items Less Accommodation,na
1966-08,All Items,26.199
1966-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-08,All Items Less Accommodation,na
1966-09,All Items,26.042
1966-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-09,All Items Less Accommodation,na
1966-10,All Items,25.886
1966-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-10,All Items Less Accommodation,na
1966-11,All Items,26.145
1966-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-11,All Items Less Accommodation,na
1966-12,All Items,26.306
1966-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1966-12,All Items Less Accommodation,na
1967-01,All Items,26.704
1967-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-01,All Items Less Accommodation,na
1967-02,All Items,26.72
1967-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-02,All Items Less Accommodation,na
1967-03,All Items,26.583
1967-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-03,All Items Less Accommodation,na
1967-04,All Items,26.171
1967-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-04,All Items Less Accommodation,na
1967-05,All Items,26.406
1967-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-05,All Items Less Accommodation,na
1967-06,All Items,26.711
1967-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-06,All Items Less Accommodation,na
1967-07,All Items,27.08
1967-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-07,All Items Less Accommodation,na
1967-08,All Items,26.967
1967-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-08,All Items Less Accommodation,na
1967-09,All Items,27.175
1967-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-09,All Items Less Accommodation,na
1967-10,All Items,27.076
1967-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-10,All Items Less Accommodation,na
1967-11,All Items,27.329
1967-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-11,All Items Less Accommodation,na
1967-12,All Items,27.569
1967-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1967-12,All Items Less Accommodation,na
1968-01,All Items,27.588
1968-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-01,All Items Less Accommodation,na
1968-02,All Items,27.281
1968-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-02,All Items Less Accommodation,na
1968-03,All Items,27.183
1968-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-03,All Items Less Accommodation,na
1968-04,All Items,27.12
1968-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-04,All Items Less Accommodation,na
1968-05,All Items,26.832
1968-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-05,All Items Less Accommodation,na
1968-06,All Items,26.832
1968-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-06,All Items Less Accommodation,na
1968-07,All Items,26.969
1968-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-07,All Items Less Accommodation,na
1968-08,All Items,27.179
1968-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-08,All Items Less Accommodation,na
1968-09,All Items,27.019
1968-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-09,All Items Less Accommodation,na
1968-10,All Items,26.972
1968-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-10,All Items Less Accommodation,na
1968-11,All Items,26.902
1968-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-11,All Items Less Accommodation,na
1968-12,All Items,26.817
1968-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1968-12,All Items Less Accommodation,na
1969-01,All Items,26.843
1969-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-01,All Items Less Accommodation,na
1969-02,All Items,26.793
1969-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-02,All Items Less Accommodation,na
1969-03,All Items,26.936
1969-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-03,All Items Less Accommodation,na
1969-04,All Items,26.839
1969-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-04,All Items Less Accommodation,na
1969-05,All Items,27.1
1969-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-05,All Items Less Accommodation,na
1969-06,All Items,26.962
1969-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-06,All Items Less Accommodation,na
1969-07,All Items,26.884
1969-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-07,All Items Less Accommodation,na
1969-08,All Items,27.01
1969-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-08,All Items Less Accommodation,na
1969-09,All Items,27.04
1969-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-09,All Items Less Accommodation,na
1969-10,All Items,26.847
1969-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-10,All Items Less Accommodation,na
1969-11,All Items,27.118
1969-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-11,All Items Less Accommodation,na
1969-12,All Items,27.496
1969-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1969-12,All Items Less Accommodation,na
1970-01,All Items,27.104
1970-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-01,All Items Less Accommodation,na
1970-02,All Items,27.224
1970-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-02,All Items Less Accommodation,na
1970-03,All Items,26.889
1970-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-03,All Items Less Accommodation,na
1970-04,All Items,26.931
1970-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-04,All Items Less Accommodation,na
1970-05,All Items,26.949
1970-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-05,All Items Less Accommodation,na
1970-06,All Items,26.914
1970-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-06,All Items Less Accommodation,na
1970-07,All Items,27.181
1970-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-07,All Items Less Accommodation,na
1970-08,All Items,27.159
1970-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-08,All Items Less Accommodation,na
1970-09,All Items,27.114
1970-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-09,All Items Less Accommodation,na
1970-10,All Items,27.142
1970-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-10,All Items Less Accommodation,na
1970-11,All Items,27.08
1970-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1970-11,All Items Less Accommodation,na
